,internal_id,h3_index,latitude,longitude,name,tags,categories,place_id,address,timezone,temporarily_closed,permanently_closed,inside_of,price_level,contact_phone,contact_website,number_of_reviews,rating_stars,spending_time_min,spending_time_max,has_popularity,has_opening_hours,has_waiting_time
0,0x46b54a5a7d4ed1fd:0x932ad74a3f2e7e60,8f1181a1952d630,55.4103069,37.902451299999996,Moscow Domodedovo Mikhail Lomonosov Airport,{international_airport},{airport},ChIJ_dFOfVpKtUYRYH4uP0rXKpM,{Moscow OblastRussia},Europe/Moscow,False,False,,,74959336666.0,https://www.dme.ru/,39373.0,4.2,,,True,False,True
1,0x487604e08939064d:0x59887c6e6e215e84,8f194ad1448cac9,51.4931466,-0.1375337,RE/MAX Central,{real_estate_agentsapartment_rental_agencycommercial_agentproperty_investmentproperty_management_company},{service},ChIJTQY5ieAEdkgRhF4hbm58iFk,{85 Rochester RowLondonSW1P 1LJUnited Kingdom},Europe/London,False,False,,,442076301099.0,http://www.remax.co.uk/central,111.0,4.5,,,False,True,False
2,0x48693091a4e3367d:0x4b05e135f5c25f78,8f195a413c021b2,51.674043,-4.908637000000001,Pembroke,,,ChIJfTbjpJEwaUgReF_C9TXhBUs,{UK},Europe/London,False,False,,,,,,,,,False,False,False
3,0x47c5e37e3bef4933:0xb5e624f5197f65bf,8f1968269bb56cd,52.3897001,4.849449900000001,Black Cat Theatre,{childrens_theatermusic_school},{art_cultureeducation},ChIJM0nvO37jxUcRv2V_GfUk5rU,{Schakelstraat 21014 AW AmsterdamNetherlands},Europe/Amsterdam,False,False,,,31638066480.0,http://blackcattheatre.nl/,60.0,4.9,,,True,False,True
4,0x47c0c4973b395b15:0xbc45fd9317e81195,8f1fa096b432218,50.9702469,5.6801788,GO! basisschool voor buitengewoon onderwijs Mikado,{elementary_school},{misc},ChIJFVs5O5fEwEcRlRHoF5P9Rbw,{Bosweg 713630 MaasmechelenBelgium},Europe/Brussels,False,False,,,3289760277.0,http://www.bsbomikado.be/,5.0,4.8,,,False,True,False
5,0x8816d3501297c131:0x3c9f57ffc1d42ba5,8f274b46e3b30b6,41.7058097,-86.23502009999999,Notre Dame Security Police,{police_department},{public_service},ChIJMcGXElDTFogRpSvUwf9Xnzw,{Hammes Mowbray HallNotre Dame IN 46556United States},America/Indianapolis,False,False,0x8816cd576bfc35cd:0x5a2be3cb659fd9b7,,15746315555.0,http://ndsp.nd.edu/,,,,,False,False,False
6,0x808f80b183b3d067:0x3eaabdb7467e9240,8f28308101a9af6,37.8054809,-122.2712195,Caffe Teatro,{cafedelisandwich_shop},{foodcafe},ChIJZ9Czg7GAj4ARQJJ-Rre9qj4,{300 Frank H. Ogawa Plaza #130Oakland CA 94612United States},America/Los_Angeles,False,False,,1.0,15102678970.0,http://caffeteatrooakland.com/,17.0,4.3,,,True,True,True
7,0x808581108cee81cb:0x34e1a2ad5be73318,8f28308280d1cdc,37.777195899999995,-122.4173361,110 Web Design,{software_company},{service},ChIJy4HujBCBhYARGDPnW62i4TQ,{1390 Market St Suite 200San Francisco CA 94102},America/Los_Angeles,False,False,0x8085809c0c15cadf:0xcbbbf29fd9e265a4,,18552400930.0,https://110webdesign.com/,,,,,False,True,False
8,0x8085809b49ae72d5:0xe8cfb60d1ebe7f27,8f28308287accdc,37.7795826,-122.41295530000001,A.C.T.'s Strand Theater & Cafe,{performing_arts_theater},{art_culture},ChIJ1XKuSZuAhYARJ3--Hg22z-g,{1127 Market StSan Francisco CA 94103United States},America/Los_Angeles,True,False,,,14157492228.0,http://www.act-sf.org/strand,212.0,4.6,,,False,False,False
9,0x808580c9dbbd6fcf:0x987a2bfedc89c62,8f283082909c4f4,37.7854649,-122.43931450000001,Lancellotti Paola,{doctor},{medical},ChIJz2-928mAhYARYpzI7b-ihwk,{2356 Sutter St # 6San Francisco CA 94115United States},America/Los_Angeles,False,False,,,14158857788.0,,,,,,False,False,False
10,0x808581f215b60ebb:0x235abe53a6a07df9,8f283082a22a98b,37.79213789999999,-122.4028277,315 MONTGOMERY STREET,{business_center},{office},ChIJuw62FfKBhYAR-X2gplO-WiM,{315 Montgomery StSan Francisco CA 94104},America/Los_Angeles,False,False,,,12015871000.0,https://www.vno.com/office/property/315-montgomery-street/3311896/landing,,,,,False,False,False
11,0x808580884e6635b5:0xd24ceeb04cda0dc9,8f283082a32b92b,37.789077,-122.4032362,Consulate of France,{foreign_consulate},{misc},ChIJtTVmToiAhYARyQ3aTLDuTNI,{88 Kearny St #600San Francisco CA 94108},America/Los_Angeles,False,False,0x8085808836557eb5:0xcf349ea3bd316b6b,,16502853223.0,http://consulfrance-sanfrancisco.org/,84.0,3.8,,,False,False,False
12,0x80858066a8b9520d:0x47689ad2e32a0afe,8f283082a759cec,37.7942072,-122.3947852,One Market Restaurant/Mark 'n Mike's NY Style Deli,{american_restaurantbarrestaurant},{fooddrinks},ChIJDVK5qGaAhYAR_goq49KaaEc,{1 Market StSan Francisco CA 94105United States},America/Los_Angeles,False,False,0x808580643c3e2b6b:0xdfaed86e138e4f01,3.0,14157775577.0,http://www.onemarket.com/,773.0,4.3,,,True,True,True
13,0x808f7fd5ab1c02bf:0xf614aab9f5507597,8f283082a8320e9,37.777795399999995,-122.3959876,4th St,,,ChIJvwIcq9V_j4ARl3VQ9bmqFPY,{San Francisco CA},America/Los_Angeles,False,False,,,,,,,,,False,False,False
14,0x8085808679110299:0x2607188167b0f1ef,8f283082aa2d029,37.7835369,-122.4068652,Hotel Zetta San Francisco a Viceroy Urban Retreat,{hotelevent_venue},{tourismart_culture},ChIJmQIReYaAhYAR7_GwZ4EYByY,{55 5th StSan Francisco CA 94103},America/Los_Angeles,False,False,,,14155438555.0,https://www.viceroyhotelsandresorts.com/zetta?chebs=gl-zetta,785.0,4.4,,,False,False,False
15,0x8085808929ede405:0x572b701792d36541,8f283082aac9d55,37.7882001,-122.40650559999999,Gucci,{boutiqueclothing_storeleather_goods_storemens_clothing_storewomens_clothing_store},{shopping},ChIJBeTtKYmAhYARQWXTkhdwK1c,{240 Stockton StSan Francisco CA 94108United States},America/Los_Angeles,False,False,,,14153922808.0,https://www.gucci.com/us/en/store/240-stockton-street?utm_source=yext_us&utm_medium=storemarketing&utm_campaign=retail_storepages_marcomm&utm_content=23017_bookapp&y_source=1_MTI0NDEyNi03MTUtbG9jYXRpb24uZ29vZ2xlX3dlYnNpdGVfb3ZlcnJpZGU%3D,180.0,4.2,,,True,True,True
16,0x808f7fd7c4cdb4bb:0x5848b6659c59c9de,8f283082ad49099,37.7799247,-122.39198229999998,148 PRINT,{print_shop},{shopping},ChIJu7TNxNd_j4AR3slZnGW2SFg,{148 Townsend StSan Francisco CA 94107},America/Los_Angeles,False,False,,,14157304634.0,http://148print.com/,4.0,5.0,,,False,True,False
